"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"
"1"	"ENSG00000273288"	"chr17"	4961	5048	"-"	88
"2"	"ENSG00000272636"	"chr17"	5810	6168	"-"	1480
"3"	"ENSG00000273172"	"chr17"	33615	34249	"-"	1185
"4"	"ENSG00000181031"	"chr17"	62293	63714	"-"	5953
"5"	"ENSG00000262920"	"chr17"	171183	171422	"+"	432
"6"	"ENSG00000262061"	"chr17"	180996	183279	"+"	2284
"7"	"ENSG00000262294"	"chr17"	202429	202653	"+"	748
"8"	"ENSG00000262558"	"chr17"	204528	205260	"+"	913
"9"	"ENSG00000241525"	"chr17"	254326	254383	"-"	1223
"10"	"ENSG00000187624"	"chr17"	260118	260437	"+"	2505
"11"	"ENSG00000183688"	"chr17"	289769	293285	"-"	3621
"12"	"ENSG00000263015"	"chr17"	406411	406536	"+"	493
"13"	"ENSG00000141252"	"chr17"	411908	422538	"-"	20899
"14"	"ENSG00000263300"	"chr17"	426380	426669	"+"	478
"15"	"ENSG00000262905"	"chr17"	455806	456156	"+"	592
"16"	"ENSG00000262708"	"chr17"	519242	519835	"+"	594
"17"	"ENSG00000244097"	"chr17"	560034	560787	"-"	754
"18"	"ENSG00000167695"	"chr17"	635652	636421	"+"	2734
"19"	"ENSG00000179409"	"chr17"	647654	652591	"-"	5751
"20"	"ENSG00000231784"	"chr17"	655900	658576	"+"	2677
"21"	"ENSG00000167699"	"chr17"	660337	660561	"-"	4951
"22"	"ENSG00000196737"	"chr17"	666805	668254	"-"	1754
"23"	"ENSG00000262228"	"chr17"	666805	668559	"-"	1755
"24"	"ENSG00000171861"	"chr17"	685513	685932	"+"	2065
"25"	"ENSG00000262434"	"chr17"	692984	693222	"-"	486
"26"	"ENSG00000167693"	"chr17"	702553	704371	"-"	5881
"27"	"ENSG00000262133"	"chr17"	781142	781512	"+"	585
"28"	"ENSG00000262003"	"chr17"	812872	813172	"+"	820
"29"	"ENSG00000263017"	"chr17"	862274	862606	"+"	333
"30"	"ENSG00000265403"	"chr17"	885276	885361	"+"	86
"31"	"ENSG00000177370"	"chr17"	900357	900620	"+"	3194
"32"	"ENSG00000159842"	"chr17"	906758	909409	"-"	11709
"33"	"ENSG00000264429"	"chr17"	925716	925799	"-"	84
"34"	"ENSG00000235361"	"chr17"	1085187	1085222	"+"	235
"35"	"ENSG00000262213"	"chr17"	1145233	1145485	"-"	340
"36"	"ENSG00000205899"	"chr17"	1173853	1174754	"+"	902
"37"	"ENSG00000184811"	"chr17"	1182957	1183682	"+"	3596
"38"	"ENSG00000108953"	"chr17"	1247566	1248793	"-"	3847
"39"	"ENSG00000167193"	"chr17"	1323983	1326944	"-"	4090
"40"	"ENSG00000262777"	"chr17"	1327767	1328211	"+"	691
"41"	"ENSG00000197879"	"chr17"	1367392	1369046	"-"	8152
"42"	"ENSG00000132376"	"chr17"	1397865	1399173	"-"	5325
"43"	"ENSG00000236618"	"chr17"	1420225	1420387	"+"	542
"44"	"ENSG00000174238"	"chr17"	1421012	1423832	"-"	4784
"45"	"ENSG00000167703"	"chr17"	1472561	1479059	"-"	10618
"46"	"ENSG00000243704"	"chr17"	1507670	1507966	"-"	297
"47"	"ENSG00000238946"	"chr17"	1519486	1519589	"-"	104
"48"	"ENSG00000074660"	"chr17"	1537152	1538911	"-"	4957
"49"	"ENSG00000167705"	"chr17"	1549444	1549913	"-"	2098
"50"	"ENSG00000174231"	"chr17"	1553923	1554250	"-"	11355
"51"	"ENSG00000185561"	"chr17"	1611064	1611516	"-"	991
"52"	"ENSG00000186594"	"chr17"	1614805	1617339	"-"	2968
"53"	"ENSG00000167716"	"chr17"	1619817	1620008	"+"	7913
"54"	"ENSG00000262791"	"chr17"	1629042	1629205	"-"	459
"55"	"ENSG00000167711"	"chr17"	1646130	1646202	"+"	2348
"56"	"ENSG00000132386"	"chr17"	1665253	1665567	"+"	3069
"57"	"ENSG00000186532"	"chr17"	1682779	1684733	"-"	6777
"58"	"ENSG00000132383"	"chr17"	1732996	1733194	"+"	5492
"59"	"ENSG00000265504"	"chr17"	1733135	1733217	"-"	83
"60"	"ENSG00000108958"	"chr17"	1761333	1761740	"-"	408
"61"	"ENSG00000185924"	"chr17"	1837971	1841102	"-"	3625
"62"	"ENSG00000262445"	"chr17"	1898908	1898997	"+"	870
"63"	"ENSG00000228133"	"chr17"	1921010	1921401	"+"	2061
"64"	"ENSG00000262869"	"chr17"	1923246	1923736	"-"	560
"65"	"ENSG00000108963"	"chr17"	1933404	1933524	"+"	5757
"66"	"ENSG00000262664"	"chr17"	1945327	1945525	"+"	1025
"67"	"ENSG00000262533"	"chr17"	1946194	1946264	"-"	422
"68"	"ENSG00000263050"	"chr17"	1946769	1946918	"-"	443
"69"	"ENSG00000267200"	"chr17"	1953202	1953302	"-"	101
"70"	"ENSG00000267195"	"chr17"	1953565	1953674	"-"	110
"71"	"ENSG00000177374"	"chr17"	1957448	1958532	"+"	4554
"72"	"ENSG00000070366"	"chr17"	1963133	1965551	"-"	11060
"73"	"ENSG00000262810"	"chr17"	1992975	1993063	"+"	528
"74"	"ENSG00000262402"	"chr17"	2030724	2031198	"-"	475
"75"	"ENSG00000265777"	"chr17"	2103056	2103331	"+"	276
"76"	"ENSG00000236838"	"chr17"	2116991	2117138	"+"	404
"77"	"ENSG00000236457"	"chr17"	2118776	2118987	"-"	323
"78"	"ENSG00000225084"	"chr17"	2135974	2136022	"+"	710
"79"	"ENSG00000167720"	"chr17"	2206677	2206771	"+"	3498
"80"	"ENSG00000262333"	"chr17"	2210055	2211009	"+"	955
"81"	"ENSG00000167721"	"chr17"	2225797	2227668	"-"	5545
"82"	"ENSG00000212552"	"chr17"	2232413	2232507	"-"	95
"83"	"ENSG00000212163"	"chr17"	2233570	2233664	"-"	95
"84"	"ENSG00000141258"	"chr17"	2240792	2241039	"+"	9771
"85"	"ENSG00000263345"	"chr17"	2278355	2278665	"-"	1234
"86"	"ENSG00000070444"	"chr17"	2287354	2290943	"-"	8728
"87"	"ENSG00000262456"	"chr17"	2288141	2288640	"+"	1065
"88"	"ENSG00000127804"	"chr17"	2308856	2310524	"-"	8934
"89"	"ENSG00000205821"	"chr17"	2310279	2310524	"-"	573
"90"	"ENSG00000243049"	"chr17"	2461096	2461388	"-"	293
"91"	"ENSG00000262953"	"chr17"	2489624	2489888	"-"	1207
"92"	"ENSG00000007168"	"chr17"	2496504	2496624	"+"	8127
"93"	"ENSG00000262480"	"chr17"	2516578	2517238	"-"	661
"94"	"ENSG00000239024"	"chr17"	2558973	2559076	"+"	104
"95"	"ENSG00000239884"	"chr17"	2584242	2584528	"+"	287
"96"	"ENSG00000272770"	"chr17"	2586599	2587006	"-"	626
"97"	"ENSG00000272911"	"chr17"	2591767	2591864	"+"	303
"98"	"ENSG00000132361"	"chr17"	2592680	2594071	"-"	6900
"99"	"ENSG00000262050"	"chr17"	2615603	2615693	"+"	443
"100"	"ENSG00000261963"	"chr17"	2627714	2628294	"-"	792
"101"	"ENSG00000272920"	"chr17"	2651372	2651476	"+"	105
"102"	"ENSG00000221200"	"chr17"	2651372	2651476	"-"	105
"103"	"ENSG00000265566"	"chr17"	2657126	2657430	"+"	305
"104"	"ENSG00000132359"	"chr17"	2680350	2680572	"+"	7350
"105"	"ENSG00000262884"	"chr17"	2865542	2866537	"-"	2546
"106"	"ENSG00000262628"	"chr17"	2965963	2966901	"-"	939
"107"	"ENSG00000184166"	"chr17"	2995352	2996290	"-"	939
"108"	"ENSG00000142163"	"chr17"	3019717	3020660	"+"	944
"109"	"ENSG00000183024"	"chr17"	3029878	3030875	"-"	998
"110"	"ENSG00000261848"	"chr17"	3038263	3038484	"-"	792
"111"	"ENSG00000262085"	"chr17"	3057183	3058176	"-"	994
"112"	"ENSG00000172150"	"chr17"	3100813	3101742	"+"	930
"113"	"ENSG00000172146"	"chr17"	3118915	3119844	"+"	930
"114"	"ENSG00000255095"	"chr17"	3143970	3144908	"+"	939
"115"	"ENSG00000262106"	"chr17"	3168905	3169835	"+"	931
"116"	"ENSG00000221882"	"chr17"	3181193	3182268	"-"	1076
"117"	"ENSG00000262670"	"chr17"	3182069	3182217	"-"	710
"118"	"ENSG00000180090"	"chr17"	3194929	3195876	"-"	948
"119"	"ENSG00000180068"	"chr17"	3213539	3214740	"+"	1202
"120"	"ENSG00000272546"	"chr17"	3214487	3215186	"+"	700
"121"	"ENSG00000267129"	"chr17"	3280821	3280896	"-"	76
"122"	"ENSG00000180042"	"chr17"	3289224	3290132	"+"	909
"123"	"ENSG00000180016"	"chr17"	3300398	3301704	"-"	1307
"124"	"ENSG00000159961"	"chr17"	3323862	3324827	"+"	966
"125"	"ENSG00000127780"	"chr17"	3336164	3337135	"-"	972
"126"	"ENSG00000141255"	"chr17"	3343313	3343632	"-"	2860
"127"	"ENSG00000108381"	"chr17"	3375668	3375756	"+"	5854
"128"	"ENSG00000167723"	"chr17"	3413796	3417308	"-"	9780
"129"	"ENSG00000262304"	"chr17"	3468738	3470281	"-"	7400
"130"	"ENSG00000196689"	"chr17"	3468738	3470281	"-"	4995
"131"	"ENSG00000263338"	"chr17"	3481249	3481518	"-"	560
"132"	"ENSG00000261916"	"chr17"	3505055	3505566	"-"	512
"133"	"ENSG00000197417"	"chr17"	3511556	3514266	"-"	3838
"134"	"ENSG00000262248"	"chr17"	3522550	3522732	"-"	344
"135"	"ENSG00000040531"	"chr17"	3539762	3540181	"+"	3398
"136"	"ENSG00000262903"	"chr17"	3558915	3559256	"-"	874
"137"	"ENSG00000213977"	"chr17"	3566196	3567179	"-"	1377
"138"	"ENSG00000257950"	"chr17"	3566357	3567179	"-"	5905
"139"	"ENSG00000240898"	"chr17"	3568514	3568996	"+"	483
"140"	"ENSG00000127774"	"chr17"	3572109	3572306	"+"	769
"141"	"ENSG00000083454"	"chr17"	3575493	3575787	"-"	4190
"142"	"ENSG00000083457"	"chr17"	3617922	3618236	"-"	6657
"143"	"ENSG00000262692"	"chr17"	3624922	3625112	"+"	291
"144"	"ENSG00000177602"	"chr17"	3627211	3630067	"+"	2857
"145"	"ENSG00000262358"	"chr17"	3632655	3632946	"+"	398
"146"	"ENSG00000262194"	"chr17"	3705459	3705775	"-"	518
"147"	"ENSG00000262758"	"chr17"	3710042	3712148	"-"	2107
"148"	"ENSG00000074356"	"chr17"	3714460	3716573	"-"	5717
"149"	"ENSG00000004660"	"chr17"	3763609	3765577	"-"	7424
"150"	"ENSG00000108405"	"chr17"	3799886	3801173	"-"	3970
"151"	"ENSG00000074370"	"chr17"	3827169	3828735	"-"	6866
"152"	"ENSG00000263312"	"chr17"	3880397	3880488	"+"	549
"153"	"ENSG00000074755"	"chr17"	3907739	3910264	"-"	15878
"154"	"ENSG00000252456"	"chr17"	3960050	3960170	"-"	121
"155"	"ENSG00000238807"	"chr17"	4017902	4018004	"+"	103
"156"	"ENSG00000167740"	"chr17"	4046462	4047299	"+"	2182
"157"	"ENSG00000185722"	"chr17"	4067201	4071205	"-"	14122
"158"	"ENSG00000263165"	"chr17"	4067204	4067667	"+"	512
"159"	"ENSG00000251812"	"chr17"	4089621	4089719	"+"	99
"160"	"ENSG00000207390"	"chr17"	4096063	4096160	"+"	98
"161"	"ENSG00000263219"	"chr17"	4125386	4127123	"+"	1738
"162"	"ENSG00000132388"	"chr17"	4172554	4175811	"-"	4539
"163"	"ENSG00000261868"	"chr17"	4204667	4205993	"+"	1327
"164"	"ENSG00000263882"	"chr17"	4267463	4267748	"-"	286
"165"	"ENSG00000182557"	"chr17"	4336983	4337461	"+"	2684
"166"	"ENSG00000262823"	"chr17"	4385261	4385884	"-"	1059
"167"	"ENSG00000229782"	"chr17"	4400689	4401010	"-"	370
"168"	"ENSG00000183018"	"chr17"	4402133	4402712	"+"	4111
"169"	"ENSG00000132382"	"chr17"	4442192	4443262	"-"	6203
"170"	"ENSG00000167741"	"chr17"	4460222	4462352	"-"	3161
"171"	"ENSG00000262921"	"chr17"	4469047	4469149	"+"	537
"172"	"ENSG00000262519"	"chr17"	4475501	4475810	"+"	310
"173"	"ENSG00000188176"	"chr17"	4487294	4487393	"+"	2470
"174"	"ENSG00000261863"	"chr17"	4513744	4514128	"+"	1273
"175"	"ENSG00000222429"	"chr17"	4523044	4523147	"-"	104
"176"	"ENSG00000161905"	"chr17"	4534197	4535074	"-"	3404
"177"	"ENSG00000141456"	"chr17"	4574679	4574826	"-"	4967
"178"	"ENSG00000235085"	"chr17"	4578674	4578754	"+"	384
"179"	"ENSG00000244184"	"chr17"	4607525	4607665	"+"	472
"180"	"ENSG00000213939"	"chr17"	4608111	4608512	"-"	402
"181"	"ENSG00000141480"	"chr17"	4613784	4614039	"+"	4372
"182"	"ENSG00000161920"	"chr17"	4634723	4634869	"+"	1477
"183"	"ENSG00000261898"	"chr17"	4635051	4635389	"-"	480
"184"	"ENSG00000161921"	"chr17"	4636821	4637947	"-"	2794
"185"	"ENSG00000141497"	"chr17"	4643319	4644435	"+"	3291
"186"	"ENSG00000142484"	"chr17"	4675179	4675394	"+"	930
"187"	"ENSG00000182853"	"chr17"	4688580	4688954	"-"	803
"188"	"ENSG00000182327"	"chr17"	4692254	4692412	"+"	1023
"189"	"ENSG00000142507"	"chr17"	4699439	4699591	"+"	1420
"190"	"ENSG00000262165"	"chr17"	4704454	4704750	"-"	562
"191"	"ENSG00000129219"	"chr17"	4710391	4710520	"+"	4888
"192"	"ENSG00000141503"	"chr17"	4736683	4736935	"+"	7817
"193"	"ENSG00000230201"	"chr17"	4760052	4760669	"-"	618
